id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
21135,Women,Apparel,Topwear,Sweaters,Purple,Fall,2011.0,Casual,s.Oliver Women Solid Purple Sweater
30888,Women,Apparel,Topwear,Kurtas,Green,Fall,2012.0,Ethnic,Fabindia Women Maheshwari Green Printed Kurta
10788,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Malbork White Shirt
6059,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,UCB Men Linen Small Checks Green Shirt
59522,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Silver Earrings
58245,Women,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Baggit Women Brown Wallet
39545,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012.0,Casual,Numero Uno Men Black Flip Flops
18479,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Puma Men Super Elevate White Casual Shoes
47587,Women,Footwear,Shoes,Flats,Brown,Winter,2012.0,Ethnic,Portia Women Gold Flats
30804,Men,Apparel,Topwear,Shirts,Rust,Summer,2012.0,Ethnic,Fabindia Men Rust Shirt
11430,Women,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,United Colors of Benetton Women Brown T-shirt
56493,Women,Personal Care,Nails,Nail Polish,Brown,Spring,2017.0,General,Streetwear Quick Dry Metallic Mauve Nail Polish 13
38415,Women,Accessories,Belts,Belts,Red,Summer,2012.0,Casual,Baggit Women Flora Moly Red Belt
14699,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011.0,Casual,Basics Men Black Trousers
57121,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Elle Women White Top
21161,Women,Apparel,Topwear,Tops,Grey,Fall,2011.0,Casual,s.Oliver Women Grey Top
30486,Women,Apparel,Innerwear,Bra,White,Summer,2012.0,Casual,Lovable Women Fiona White Bra
17306,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Pepe Jeans Men Casual Sunglasses
9065,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Blue Striped Shirt
7892,Men,Apparel,Bottomwear,Shorts,Grey,Fall,2011.0,Casual,Proline Men Grey & White Checked Shorts
7139,Women,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers For Her Women Light Work Red Check Shirts
48026,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Helix Women White Dial Watch
